Villa, Date,Forecast,CI Lower (30%),CI Upper (30%)
Anjani, 2025-03-01,134848472.09839952,94393930.46887967,175303013.72791937
Anjani, 2025-04-01,121609404.20651089,85126582.94455762,158092225.46846414
Anjani, 2025-05-01,116628477.5093726,81639934.25656083,151617020.76218438
Anjani, 2025-06-01,119516483.69989435,83661538.58992605,155371428.80986267
Anjani, 2025-07-01,122285860.09800541,85600102.06860378,158971618.12740704
Anjani, 2025-08-01,123227062.6202111,86258943.83414777,160195181.40627444
Anjani, 2025-09-01,81496476.97589743,57047533.8831282,105945420.06866667
Anjani, 2025-10-01,76478395.90078522,53534877.130549654,99421914.67102079
Anjani, 2025-11-01,70541670.87103876,49379169.60972714,91704172.13235039
Anjani, 2025-12-01,70445895.09120151,49312126.56384106,91579663.61856197
Anjani, 2026-01-01,67208066.79447483,47045646.75613238,87370486.83281727
Anjani, 2026-02-01,66682452.56006451,46677716.79204516,86687188.32808386
Istana Semer, 2025-03-01,198468712.8946987,138928099.0262891,258009326.7631083
Istana Semer, 2025-04-01,191870202.0122059,134309141.40854412,249431262.61586767
Istana Semer, 2025-05-01,186653733.36999634,130657613.35899743,242649853.38099524
Istana Semer, 2025-06-01,184844243.29188716,129390970.30432102,240297516.2794533
Istana Semer, 2025-07-01,185608959.21264535,129926271.44885175,241291646.97643894
Istana Semer, 2025-08-01,182062131.6127842,127443492.12894896,236680771.09661946
Istana Semer, 2025-09-01,186410134.15652353,130487093.90956646,242333174.4034806
Istana Semer, 2025-10-01,182476491.2321593,127733543.8625115,237219438.60180706
Istana Semer, 2025-11-01,179581717.5664161,125707202.29649128,233456232.83634096
Istana Semer, 2025-12-01,188286916.53321332,131800841.57324933,244772991.4931773
Istana Semer, 2026-01-01,164795278.28467858,115356694.79927501,214233861.77008215
Istana Semer, 2026-02-01,171987602.38641644,120391321.67049152,223583883.10234135
Kalisha, 2025-03-01,115675722.25583959,80973005.5790877,150378438.93259147
Kalisha, 2025-04-01,120997955.57424957,84698568.90197471,157297342.24652442
Kalisha, 2025-05-01,124573032.16670418,87201122.51669294,161944941.81671542
Kalisha, 2025-06-01,128673709.47179869,90071596.63025908,167275822.31333828
Kalisha, 2025-07-01,146661499.09092766,102663049.36364937,190659948.81820595
Kalisha, 2025-08-01,152958549.72435015,107070984.8070451,198846114.6416552
Kalisha, 2025-09-01,144047945.56682137,100833561.89677495,187262329.2368678
Kalisha, 2025-10-01,147383469.16125998,103168428.41288199,191598509.909638
Kalisha, 2025-11-01,128700237.12310037,90090165.98617026,167310308.26003048
Kalisha, 2025-12-01,155498186.43519345,108848730.50463542,202147642.36575148
Kalisha, 2026-01-01,139333614.98195562,97533530.48736894,181133699.4765423
Kalisha, 2026-02-01,153172003.58568883,107220402.50998218,199123604.6613955
Krtajna, 2025-03-01,119562073.65001416,83693451.55500992,155430695.74501842
Krtajna, 2025-04-01,121764187.58424854,85234931.30897398,158293443.85952312
Krtajna, 2025-05-01,122884147.99894862,86018903.59926403,159749392.3986332
Krtajna, 2025-06-01,123673305.01139696,86571313.50797787,160775296.51481605
Krtajna, 2025-07-01,124502815.9458626,87151971.16210383,161853660.72962138
Krtajna, 2025-08-01,125546429.2842142,87882500.49894994,163210358.06947845
Krtajna, 2025-09-01,126782548.75409302,88747784.1278651,164817313.38032094
Krtajna, 2025-10-01,128038825.6112531,89627177.92787717,166450473.29462904
Krtajna, 2025-11-01,129097947.13232142,90368562.992625,167827331.27201784
Krtajna, 2025-12-01,129818900.15248078,90873230.10673654,168764570.19822502
Krtajna, 2026-01-01,130209847.43288322,91146893.20301825,169272801.6627482
Krtajna, 2026-02-01,130417471.64004056,91292230.1480284,169542713.13205272
Leana, 2025-03-01,89848036.8652989,62893625.80570923,116802447.92488857
Leana, 2025-04-01,104699370.77277216,73289559.54094052,136109182.0046038
Leana, 2025-05-01,119739937.01989797,83817955.91392857,155661918.12586737
Leana, 2025-06-01,129408375.40208402,90585862.78145882,168230888.02270922
Leana, 2025-07-01,149534468.6230607,104674128.0361425,194394809.2099789
Leana, 2025-08-01,160050771.8308262,112035540.28157833,208066003.38007405
Leana, 2025-09-01,153713132.0401455,107599192.42810184,199827071.65218914
Leana, 2025-10-01,152706843.47075462,106894790.42952824,198518896.511981
Leana, 2025-11-01,134200520.18781717,93940364.13147202,174460676.24416232
Leana, 2025-12-01,132978051.95856172,93084636.3709932,172871467.54613024
Leana, 2026-01-01,182650528.10685498,127855369.67479849,237445686.53891146
Leana, 2026-02-01,206858073.60770467,144800651.52539328,268915495.6900161
Matahari, 2025-03-01,73663375.10492428,51564362.57344699,95762387.63640156
Matahari, 2025-04-01,84654737.4131318,59258316.189192265,110051158.63707134
Matahari, 2025-05-01,93520617.1939982,65464432.03579874,121576802.35219766
Matahari, 2025-06-01,86675132.22553071,60672592.557871506,112677671.89318992
Matahari, 2025-07-01,66830878.403126225,46781614.88218836,86880141.9240641
Matahari, 2025-08-01,93813893.48810424,65669725.441672966,121958061.53453551
Matahari, 2025-09-01,123400793.88725184,86380555.72107628,160421032.0534274
Matahari, 2025-10-01,125287305.34188636,87701113.73932046,162873496.94445226
